movie,review_title,review,review_rating
Street Fighter: The Legend of Chun-Li,A Nutshell Review: Street Fighter: The Legend of Chun-Li,"Made in collaboration with Capcom, I think someone probably thought enough time had past and the past stinker forgotten, and to follow suit in a franchise milking programme like what Marvel and DC had embarked upon, a reboot is in order and the current buzzword. So just like how the characters in Street Fighter hail from all over the world, the production too has input from everywhere, like actors in the West and in the East, being filmed in Thailand and having Indian producing input as well. It's like a melting pot of cultures collaborating in breathing life into a possible franchise should this film prove to be successful. But chances are I suspect it'll at most hit the direct to DVD route after this.It's a little surprising that the filmmakers opted for Chun Li instead of the signature character of Ryu. Maybe they have faith in Kristin Kreuk, better known for her Lana Lang role in Smallville, to pull in the fanboys, or once fanboys, of the video game. But as it turns out, while she may be a looker, and her personal grounding in gymnastics and martial arts do help, she's ultimately let down by a weak plot (ok, so that's expected) and some very weak supporting characters. On the side of the good, you have Cheng Pei Pei in a one scene cameo, who does nothing but to tell her to go to Bangkok and live like a pauper, useless cops with Chris Klein as an Interpol cop Charlie Nash who's basically cardboard and Moon Bloodgood (love that name) as a Thai policewoman Maya who just preens and purrs, and Robin Shou as Gen, a mystical David-Carradine-Kung-Fu knock off with long grey hair.As if the villains were good enough, being nothing but bland and uninteresting. I thought it was a good spin on things to have Neal McDonough's Bison being a corporate raider with his Shadaloo organization, aided by lesbian femme fatale Cantana (Hong Kong's Josie Ho), a very underused Vega (Black Eyed Peas' Taboo) and Michael Clarke Duncan's Balrog, who's more like a relegated Kingpin of Crime from Daredevil, now playing sidekick. Like Robin Shou, who also once had leading role status, I feel that this film was like a collection of would be has- beens waiting for another chance at the big league.If there's any cause for celebration, then it might be Edmund Chen's role as Chun Li's dad Heung. From Ivan Heng to Adrian Pang to Fann Wong and to the coup of seeing Chin Han having possibly the role of his life in The Dark Knight, Edmund Chen looks set to follow in the latter's footsteps, but only up until some stuntmen unceremoniously took over almost all his fighting scenes, even those that require him to perform some non-life threatening qi- gong stances. The body double is really too obvious and one can tell it isn't him at all. So shave off some 50% of his ""appearance"" from the film.Street Fighter: The Legend of Chun Li is a straight forward film without much depth in its story, and it's relatively lower production budget translates to many of the jazzy special prowess in the game being considerably toned down. Perhaps director Andrzej Bartkowiak's intention was to have it more rooted to reality, but therein lies the danger see, because this film has tremendous parallels with that of another super-powered movie called Elektra. Both have recognizable female actresses in the lead role, and they share a plot involving secret organizations, mystical healing, an experienced teacher to learn the ropes from, and plenty of hokey martial arts. Even the training sequence looks super summarized, uninspiring and filled with unremarkable, clichéd dialogue.Having said that it was more rooted in reality, that doesn't mean there weren't fun opportunities for some game-like signature moments. I had enjoyed how Bison power packs his punches and kicks, just like in the game but without any glowing-blue glove to visually enhance it (just throbbing sound effects). Chun Li doesn't appear in her iconic qipao, but makes up for it in one scene where she has to execute her Tenshokyaku, the spinning bird kick where she inverts herself and spins her legs like helicopter blades, and dons her hair ""ox horns"" style. Other than that, her costume's pretty much well suited for the heat and humidity of the Bangkok temperature, as well as the usual black ensemble made hip by X- Men.It had tried to be more cerebral in crafting a father-daughter story between Chun Li and dad Heung, Chun Li and her master Gen, and that between M.Bison and her daughter Rose. But anything in depth has no place in the film as it opted to be more fleet-footed that even a three year old could follow. It's an origin story, and depending on which camp you're on, you may or may not agree with some of the tweaks made here to accommodate the film version of things. Despite being called ""Street Fighter"", the fights here are nothing too fantastic or memorable, and looks comfortably in place with many B-grade action movies out there, with the occasional lapsing into the crutch of having the fight scenes edited in double quick time.I suppose the filmmakers had tried their best, but there's a lot of room to try harder and come up with a better product. The lead to the sequel involves a martial arts tournament, but please don't go down the same road as Mortal Kombat and the likes. Come up with a proper and stronger story, and perhaps, we could get a chance to see a franchise being developed, straight to the cinema or DVD market. I'm willing to give it a shot, even with or without Kristin Kreuk returning.",4/10
La Haine,Very much a young person's film,"Very much a young person's film both in style and temperament stunningly shot in wide screen monochrome by Pierre Aim and covering 24 hours in the lives of three friends from a Parisian housing estate in the aftermath of a riot in which a fourth member of their clan has been shot and seriously wounded by the police. Fundamental to events is a gun lost by the police and found by Vinz, one of the boys in question, who has vowed that if his friend dies he will kill 'a pig'.It's an exciting, visceral, nihilistic picture influenced by the likes of Scorcese and filmed with much the same documentary like precision that Pontecorvo applied to ""The Battle of Algiers"" and an influence in turn on the work of British directors like Shane Meadows. A pre-credit prologue in which we are told of a man falling to his death from a 50-storey building should alert us to the fact that no matter what the outcome it isn't likely to be a happy one for anyone concerned. Writer/director Mathieu Kassovitz has no illusions about happy endings and violence and the prospect of a sudden, early death figures large in the lives of the protagonists.It's not a great film; it's too much of a patchwork quilt of outside influences but it is brilliantly made, it's full of energy and it clearly marked out Kassovitz as a director worth watching.",8/10
Mandela,Intelligent Political Script,Outstanding Story and Screenplay. Kept at the seat edge till the end. Felt the same mood throughout the Journey of the film. Cast and Crew - Extraordinary work. Standing ovation to the entire team.,10/10
Don,"Great style, great Bachchan, and hardly a dull moment","Don is a true classic thriller of the 1970s, and it surpasses the usual fare of the times in both story and execution. The film is extremely well shot, and Chandra Barot's direction is very good. The film gave me Bond vibes as I was watching it - everything about it from very early in the film is really stylish, the camera work is great, the sets, decorations, costumes, score, sound - everything boasts of very high production values. What makes the magic in the end is the script, which is tense and twisted and really well etched out, and, guess what else, oh, well, who else if not Mr. Amitabh Bachchan, who is excellent in his dual roles, and his presence alone does much to captivate the viewers. What almost takes away from the magic is the ending, which turns the film into a sort of slapstick comedy, unintentionally I guess, but it is forgivable because most films of the genre end on similar notes. The film has many other great things going for it, including great music, a lovely leading lady in Zeenat Aman, and impressive turns from the famous character actors Pran and Iftekhar. There's hardly a dull moment in this film. It's nostalgic and highly entertaining.",8/10
Singin' in the Rain,"""Gee I'm glad you turned up, we've been lookin' inside every cake in town.""","Just a great piece of Golden Age Hollywood entertainment, and this coming from someone who doesn't generally take in a musical complete start to finish. The 'Singin' In The Rain' number I could watch over and over again, it strikes a wonderful balance of joy, freedom and artistic expression. Besides that, it's flawless, making me wonder if it could possibly have been done in one take. Curious though, if you watch closely, you won't see any 'rain' hitting Gene Kelly's face.Though it's primarily Kelly's vehicle, I was sure impressed by the little bit of dance time Donald O'Connor got. That 'Make 'Em Laugh' number was funny and bold, and if I had to say, might have been the best part of the film. OK, for me it was, without taking anything away from Kelly, especially the numbers done with the exotic Cyd Charisse. Growing up in the Fifties and Sixties, one would see all of these greats appear on a variety show every now and then, but this movie puts into perspective just how great each performer actually was.It seems to me the film got away with quite a bit in the sly innuendo department, some cleverly low key and some right out there. The Kelly/Charisse flapper number gets downright steamy at times even while it looks as innocent as all get out. For a head spinning double take, you don't get much more brazen than Lina Lamont (Jean Hagen) - ""Well I can't make love to a bush.""""Singin' In The Rain"" is one of those films that will continue to wear well and entertain audiences for a long time to come. It captures the grandeur of that Hollywood Golden Age without getting overly theatrical and choreographed, and with a great blend of romance and comedy mixed into the story. It's the kind of film they don't make anymore, and in a way, that's just a bit too bad.",10/10
Hacksaw Ridge,Born to Kill meets Peace.,"Do any of you fine people remember Full Metal Jacket? Pvt. Joker in Vietnam has a helmet that features the words ""BORN TO KILL"" on one part and right by it is a peace symbol. He is asked about it by a superior officer who finds it to be a sick joke, and Joker responds that it's part of the ""duality of man, the whole Jungian thing."" In that sense, Hacksaw Ridge is the most Jungian war movie ever made, and I'm not sure if that's entirely a great thing. It may be fascinating after the fact, that it could be a film that's worth talking about after it ends, but while watching it this dichotomy is bizarre. I think part of this too goes back to Francois Truffaut's quote about war movies, that it's very difficult, close to impossible, to make an anti-war film when the action itself makes war look like a bloody good action movie.Platoon was one of the only films to be anti-war and have action in it that was well shot and executed. Hacksaw Ridge isn't that really. Its first half actually does, what I found, a decent and compellingly dramatic job of showing this guy Desmond Doss (sic) and how in his upbringing around a drunk PTSD'd father (a terrific Hugo Weaving) and nearly killing his brother (and, later on we learn, his father too in a fight), it's actually clear to see why he would embrace non-violence so strongly. Even if the guy never picked up a Bible in his life, his experiences inform his worldview, it's just that the word on killing- thou shalt not of course- extends to Doss in a way that is his total conviction. He even has a fairly sweet romance with a girl in the film and all that is fine; if anything the first half of the film, including a training sequence with Vince Vaughn in a role that reminds one how he can do dramatic work (and be funny while doing it), is engaging.But that second half is where Gibson gets to let loose and get into being BLOODY MEL Gibson (ala Bloody Sam Peckinpah, though not anywhere near Peckinpah's real innovations in filming violence in such an eye and rhythm that revolutionized things, this doesn't do that). The battle scenes here could lay claim to being the most gruesome in the history of cinema - at the least somewhere Spielberg has to be going ""damn... that's a bit much"" - and maybe some of that is part of who Gibson is as a (sigh) artist, going back to Braveheart and on through Passion and Apocalypto, a man who seems as compelled to show ALL of the brutality the way that Doss was compelled to never pick up a gun, not once. And objectively, this action is intense and, maybe, in a few moments, exciting and intense as hell.The message of this character can't help but contradict how this filmmaker sees war, and this dichotomy, again going back to that ""Born to Kill/Peace"" ideal, is taken a little too literally to the point where Mel's/Desmond's man Jesus is taken into account here. Another thing structurally is that Hacksaw Ridge feels its length over almost 2 1/2 hours the most in the final stretch, the last half hour, when Desmond becomes a superhero practically speaking (ironically Gibson in interviews has put down superhero movies of the modern era). Is it true that he saved 75 people at this battle? I take the movie at its word, but there comes a point where it makes its hero SO heroic that it strains credulity. I'm not talking about whether it was true in real life, I mean more-so in the scope of the film's interpretation of it. Not to mention, Gibson *does* indulge in the kind of violence that I have to wonder if the real Desmond Doss would recoil at, including showing a (I think) Japanese general committing Harakiri at the moment of realizing the battle really is over. Uh... okay! If all you're looking for is a bloody, gory, maggots-all-in-the-corpses-and-there-are-the-rats-too action-war movie, then certainly it's inarguable Gibson delivers, and it's a step up in quality from the (I know I'm alone in this opinion I don't care) schlock that was his last film 10 years ago, Apocalypto. But that split between the hero's convictions, religious or otherwise, and how much this film basically revels in this brutality of the flesh, is hard to take. I felt exhausted by the end of this, for good and bad reasons. 6.5/10",6/10
Maqbool,"Dark, Tall and Handsome !","The movie is dark, but it towers above the rest of Bollywood and surely beautiful! Vishal Bharadwaj's direction is top-notch.Pankaj Kapur is brilliant as ever. Its pretty sad when you see him doing silly roles on TV. The way he has sunk Abbaji character into himself is truly amazing! A very powerful presence.Irfan Khan is impressive.Tabu shines ! She is by far the only one that comes to mind (in Bollywood) who combines beauty and brain! An acting prowess in the likes of Shabana Azmi added with glamour! A very rare combination indeed. I wish the directors take more advantage of this explosive combination and create some masterpieces in coming years.Music: I cannot fall short of praise for Vishal Bharadwaj for his multi faceted persona, a producer-director-writer-musiccomposer : where do you see so much rolled into one? Maachis music still echoes in my ear. A true gem in Bollywood.In Maqbool, Sultan Khan's voice has been used so beautifully. His voice is just intoxicating. 'Dheemo Re' is beautiful. The song 'Jhin Minni' has some signature style of Rehman. Few other songs like Chingari display a nice collage of western instrumentation and Indian classical infused vocals.Gulzar's screenplay is excellent. Cinematography is above avg (could be better). Naseerudding Shah and Om Puri have done perfect justice to the little roles they were given.There are some scenes that will make you cringe! This is a matured Bollywood product, and to be watched with same expectation! A serious, no-farce product from Bollywood off late.",8/10
L.A. Confidential,The Fox Is Guarding the Chicken Coop!,"This is a great mood piece. It has a sense of time and place, not to mention some incredibly memorable characters. This is early Russell Crowe and he is really a movie presence. This has so many layers and yet it plays fairly. The people are multi-dimensional from James Cromwell, whom I love, to Kim Basinger, a really underrated actress. And, of course, Kevin Spacey is his solid self. I've seen so many portrayals of corrupt police forces and without a delicate touch, this could have been clichéd. It wasn't. We have a balance of show business and violence, drugs, you name it. We have an overzealous son of a cop who we start out hating and then begin to accept because he is driven in the right direction. I missed this the first time through during Titanic-mania, and I've always been turned off by the title (the tabloids of the fifties), but this doesn't fail to satisfy.",9/10
Iqbal,Neat and simplistic take on life,"This movie builds up a nice ethos by using a child protagonist as main character. That he's a budding cricketer who has to overcome a physical handicap along with the nearly impossible overall odds of selection, only adds to his sparse attributes and makes him even more endearing.Having said that, the movie could have taken it up a notch in certain places where it loses steam. For instance, its bad enough to convince a coach, let alone an ex-cricketer who's an acknowledged loser, to get up and give you lessons. BUt there's more than one way to skin the cat. In most cities, towns and villages all over India, what is practiced is a sport called ""galli cricket"" (playing in a lane or road with zero or no traffic). That is how many a cricketer (Sachin?) was born. Very few of the youngsters have access to proper coaching, let alone an academy.The plot seems to have been based on Shwaas (little boy's final hurray before sinking into darkness) and Bend It Like Beckham (battling all of the usual resistances). However, Iqbal shines on its own merit and had there been a wider percolation amongst the cine-going audiences, in all probability it would have been a winner at the BO too. Although its a low-budget picture, it doesn't seem to scrimp on technical aspects nor on production values. But the Muslim angle was unnecessary. Again, its triply impossible for a minority, deaf-and-mute, village kid to chase the dream that Iqbal does.Some scenes and dialogs (state selection process) remind you of Kevin Costner's ""Field of Dreams"". Overall, its an enjoyable film. Well done, Nagesh Kukunoor, after Hyderabad Blues, Teen Deewarein, etc. In movies as in cricket, what matters is a unique style, pace and rhythm.",6/10
Vedam,Powerful Cinema,A social experimental movie with certain characters of different classes of people and the life changing moment which is a beautiful writing from Krish Jagarlamudi,10/10
Natsamrat,This is Perfection of a Narrator and an Actor,"This movie is a masterpiece of drama and acting. The characters choosen play their role with ripeness and reality. The story takes you to the sky and at the same time to the deepest trench of ocean of life. How people turn on parents in reality is also heartbreaking and beautifully shown in the movie.
If this is not perfect then the definition of perfection must be changed. Cause I think this movie defines the word perfection.",10/10
The Bridge on the River Kwai,A War Film About Individuals,"The Bridge on the River Kwai is a British World War II film by David Lean based on The Bridge over the River Kwai by French writer Pierre Boulle. The film is a work of fiction but borrows the construction of the Burma Railway in 1942–43 for its historical setting. It stars William Holden, Jack Hawkins, Alec Guinness and Sessue Hayakawa. The film was shot in Sri Lanka (credited as Ceylon, as it was known at the time). The bridge in the movie was located near Kitulgala.The Bridge on the River Kwai opens in a Japanese prisoner-of-war camp in Burma in 1943, where a battle of wills rages between camp commander Colonel Saito and newly arrived British colonel Nicholson. Saito insists that Nicholson order his men to build a bridge over the river Kwai, which will be used to transport Japanese munitions. Nicholson refuses, despite all the various ""persuasive"" devices at Saito's disposal. Finally, Nicholson agrees, not so much to cooperate with his captor as to provide a morale-boosting project for the military engineers under his command. The colonel will prove that, by building a better bridge than Saito's men could build, the British soldier is a superior being even when under the thumb of the enemy. As the bridge goes up, Nicholson becomes obsessed with completing it to perfection, eventually losing sight of the fact that it will benefit the Japanese. Meanwhile, American POW Shears, having escaped from the camp, agrees to save himself from a court martial by leading a group of British soldiers back to the camp to destroy Nicholson's bridge. Upon his return, Shears realizes that Nicholson's mania to complete his project has driven him mad. Brilliant is the word, and no other, to describe the quality of skills that have gone into the making of this picture.Most war movies are either for or against their wars. The Bridge on the River Kwai is one of the few that focuses not on larger rights and wrongs but on individuals for it speaks of the code of honor amongst men during war, the respect shared by enemies of war, and the madness which war evokes.In short,this complex war epic asks hard questions, resists easy answers, and boasts career-defining work from star Alec Guinness and director David Lean.",10/10
Texas Chainsaw Massacre: The Next Generation,This Next Generation is like Coke II,"Oh. My, my, my. Why even bother watching/reviewing Texas Chainsaw Massacre: The Next Generation (or Part IV) other than my obsession in completing a franchise /series reviews for my site?* Part 2 was vile. Part 3 was worse. Part 4 fell even further. But I honestly don't see any real point in diving in on how bad and badly made this diseased series has become. A quick summary was it appeared to be completely improved, no script, no consistency and no reason for Leatherface (now with yet another new family – reason ??) to be a drag queen.Prom Night occurs and incredibly dumb kids get lost, blah blah, they're lead back to yet another creepy house and seated around another disgusting table, blah blah, they're terrorized. Only this time – spoiler! Actually in this case I don't mind spoiling, as it might save you more time to spend with loved ones than watching this crud – they introduce some dominatrix male in a suit who controls everything for whatever dumb reason. I believe this was to lead into a part 5 that (THANK GOD) never happened, much like the open ended plot holes that happened in both at the end of Halloween 5: The Revenge of Michael Myers and Aliens Vs. Predators.As much as I was angry at life after Texas Chainsaw 2 and 3, I think I just gave up during this viewing. Sure, as bad as the predecessor sequels were, this takes the absolute cake in horrible film making. It has wretched acting, intolerable dialogue and a pointless script.Despite the fact I wouldn't normally agree with actors attempting to halt film releases when they have already completed a film, I have to side, just for the extreme embarrassment defense, with both McConaughey and Zellweger's feeble attempts to stop Texas Chainsaw Massacre: The Next Generation from being freed to the world. Unfortunately they lost. What kind of world do we live in when OJ (originally) walks and this movie is distributed. There is no justice after all.Does it go without saying: SKIP IT? * - Side Note: I did go out of order. I first rewatched TCM Remake, then the remake's prequel, followed by TCM 2, 3 and 4. I still have to go back to the absolute beginning to complete the series of reviews. I do pray they don't make any more.",1/10
Toy Story 3,"To me, this is by far and large the best Pixar film to date!","To me, Pixar have never yet made a bad film, even their weakest Cars is actually very good. Like a lot of people here, I grew up with and loved the first two Toy Story films and still love them. As is consistently the case with Pixar they are superbly animated, sophisticated and had great characters. Toy Story 3 somehow managed to do the seemingly impossible, while its Toy Storys 1 and 2 have a special place in my heart, this film was even better.Perhaps Toy Story 3 isn't the most original of the trilogy or of the Pixar films, but that made little difference to me. While the darkest of the three, it still maintained the predecessors' heart and charm, and overall it was just an amazing film full-stop from start to finish, and easily one of the best of the year.The animation is just superb here. Hardly a surprise though, as the animation was phenomenal also in Toy Storys 1 and 2, but to me it was just as sophisticated and as colourful here if not more so. I also loved the music, that said I don't think it is the best Pixar score(Up) or best score of the year, but it is almost certainly one of Randy Newman's better efforts and I liked the You've Got a Friend in Me repeat.The pacing is just fine as well, and the story is tremendously engaging with plenty of humorous, tense, exciting and genuinely affecting scenes. The ending especially resonated with my entire family, especially my brother, while the scene in the dump is for me Pixar's most intense scene.I was also delighted with the film's script. The dialogue was always witty and sharp, none of it felt forced in any way. There was the brilliantly judged humour- Buzz speaking Spanish was just one of the highlights and the beginning alone had about 5 or 6 laughs- and also the poignant parts that avoided being overly-sentimental and mawkish.Another strength is in the characters. All the main characters are as likable as ever, Woody is still determined, Buzz is a sheer delight, Jessie(though I actually like her) is more tolerable here and Mr Potato Head is hilarious. But the new characters are just as wonderful, the baby is both creepy and cute and I felt for him at the end, the cymbal monkey especially for that shriek is one of Pixar's scariest characters, Lotso looks cuddly but is actually shady and bitter with an unrelenting past and Ken is cool without being bland or annoying.As ever, the voice work is brilliant from all involved, not just from Tom Hanks and Tim Allen but also from Ned Beatty whose crusty demeanour fitted Lotso like a glove.In conclusion, a truly brilliant film and a fitting conclusion to an amazing trilogy. 10/10 Bethany Cox",10/10
Goodachari,Telugu Spy Master Piece...never before seen on Telugu Screen,"Agent stories, Spy type movies as we are telugu audience waiting to watch Hollywood movies because they are top of the industry in the world and inspire complete this world undoubtedly. Indians also take the reference from hollywood to make better, good movies in their own industry.Goodachari-116 it has written in telugu history the best Spy movie. Adivi Sesh he proved what he was as an actor but Spy movies not easy to show on screen. So much hard work innovative thoughts in specific scenes. New director 2nd movie very very small budget i was shocked also.Direction story Screenplay equal to hollywood but i don't want to compare with hollywood. Its Telugu movie, all over the world everybody when india remembers telugu movies also from india. Like this way people recognize TFI.
I don't discuss much about movie watch on your Home TV or Desktop with powerful sound.. Amazing Experience you would get it.Rating 10/10 deserved because first modern telugu spy movie...
so many people's dream came true with this movie.",10/10
Asuran,A Revenge drama filled with action raises voice against lower class discrimination and higher class oppression.,"Asuran (2019) :
Brief Review -A Revenge drama filled with action raises voice against lower class discrimination and higher class oppression. Tamil Movie Asuran has 2 strong sides that can be the 2 big reasons to recommend this film. First, it's a revenge drama filled action which is sure shot safe bet for Masses and second it has explored some serious issues like Discrimination and honour killing for Classes. The film raises a voice against the traditional higher class oppression loudly and also makes it little emotional with the addition of family values. Although, it does not favour too much realism or quality filmmaking, the overall gesture is still at par. An action flick in Tamil Cinema is mostly about entertainment and mainstream masala but Asuran tried to do a little different from mainstream masala just to see whether or not this is the time for Films and audience to move on. Luckily, the film proves it's point that yes, audience is ready to accept such film which can spread awareness and also give pleasure of watching an Action flick at the same time. The high ratings by IMDb users and Public reactions are overwhelming, i didn't agree fully though. Yes i agree that Asuran is a Very Good Movie and one those of those rare actions films having hearth and brain at right place but somehow this is not Outstanding or Extraordinary. Maybe Tamil audience feel it new hence they were overwhelmed but for rest of the audience across the nation and the globe have been through with such films long ago (and i fall in this category). Dhanush, Manju and Ken Karunas are three names to be remembered for acting in this film, rest are okay-okay. Cinematography is bit dragged in action sequences otherwise no complaints. Vetrimaaran's attempt to do an action film with Social message is undoubtedly successful. Overall, A Nice and Definitely watchable film but not anywhere close to Classic tag.RATING - 7/10*By - #samthebestest",7/10
North by Northwest,"Not My Favorite Hitchcock, But A Classic For a Reason","A Madison Avenue advertising executive, Roger Thornhill (Cary Grant), is mistaken for a Mr. George Kaplan and kidnapped by thugs Valerian (Adam Williams) and Licht (Robert Ellenstein). He is taken to the house of Lester Townsend on Long Island. There he is interrogated by a man he assumes to be Townsend, but who is really Phillip Vandamm (James Mason). When Thornhill repeatedly denies he is Kaplan and says he cannot cooperate, Vandamm orders his right-hand man Leonard (Martin Landau) to get rid of him.This is a classic tale of mistaken identity -- perhaps the classic tale. And it has a few twists in store, so if that mix-up wasn't enough to keep the mystery going, there's a few more surprises in store.Eva Marie Saint appears as Thornhill's partner in fake crime, in a much more outgoing role than her reserved ""On the Waterfront"" persona. I like her... I can't place why, but she's a solid actress and I think underused.""North by Northwest"" is considered one of the greatest films ever made and the greatest Hitchcock of all. I admit, there's plenty of great scenes and the acting is hard to beat... Cary Grant, James Mason and Martin Landau in one picture? Oh, and that climactic Mount Rushmore conflict... but I don't know. I wouldn't say it's my favorite. Maybe not even in my top three. I'm more of a murder mystery guy, I guess.Or maybe I'm just not big on Cary Grant... hmmm. A great film, to be sure... do see it. I just cannot put my full endorsement behind it in comparison to other Hitchcock, despite what all the critics say.",8/10
I Know Who Killed Me,My wife said it was OK,"I did not mind the movie, but I know who killed me is like watching instead of reading 'The National Enquier"". The acting is bad in spots, and the script was lacking, but in a 'National Enquier' way. The movie had the swank girl counterpart to the good girl. My wife figured out too soon who the murderer was? Way to obvious. Movie geared for a female and teenage audience. I would of liked I know who killed me when I was 17. The twin part with Art Bell is way too much for me too digest. A 'National Enquier' too much ending. Wort renting. 5 or 6 out of 10. Way better than renting Perfume. This movie will not save Lindys career!",5/10
The Brawler,Good movie but slightly below Anurag Kashyap level,"The movie is good with awesome performance by Vineet Kumar Singh(more lead roles should be given to him), Jimmy Shergill and Ravi Kishan. It has a lots of twists and turns, and is very engaging. But I found the movie a bit below Anurag Kashyap level. I felt a little unsatisfied, as it was an Anurag Kashyap movie, so I had greater expectations.The lead actress is also very good in her role, and she near perfectly suits the role she is playing. Good job from whomever selected her for the role. She has unique and fine features.Many times, it disappoints in the twists and turns, as the story goes in a direction which you were not anticipating/expecting, but if you go with the flow, you can't help but appreciate the overall performance of the whole crew.",8/10
The General,"""If you lose this war, don't blame me"".","I would have eventually gotten around to watching this film, but my curiosity was piqued when I saw that it had miraculously jumped to Number #17 on the 2007 version of AFI's Top 100 Movies of all time list. It didn't make the cut at all for the original compilation in 1997, so even before seeing the picture, I had to wonder what might have affected movie critics in the intervening decade to reach this conclusion. I usually line up with the majority in most cases, but I have to admit, I don't quite get it with this picture. I found it entertaining enough on occasion, but I never got the sense that it was one of the great comedy classics of all time the way it's heralded on the DVD sleeve. I don't think the Civil War lends itself much to comedy, so right there my expectations were greatly reduced. Keaton's somber demeanor and generally stone faced disposition don't help. On the flip side, I wouldn't have expected slapstick to move the story along either, so at least I wasn't disappointed in that regard.What I DID enjoy were some rather offbeat moments that showed genuine creativity. When Johnnie Gray (Keaton) dejectedly considered his rejection by the Confederate Army, and pondered his situation while sitting on the train's connecting rod, the resulting visual was pure genius. The up and down motion lent a truly surreal juxtaposition to Johnnie's thoughtful reverie, and was one of the highlights of the picture for me.The other significant scene that gave me pause was when The Texas collapsed on the burning Rock River Bridge. For starters, I found it unbelievable that a wooden bridge could possibly be constructed strong enough to support a locomotive. Then I came to learn that the scene was the most expensive ever made for a silent film, and I have to give Keaton credit for going out on that kind of a limb - unbelievable.Oh yes, and I can't forget the sequence where Keaton's marksmanship is dead on when he makes contact with the rail tie blocking the train tracks, flipping it out of the way with a well timed throw of his own. Could that have possibly been done in one take? In a pre-CGI world, it's difficult to imagine how stunts like these could have been performed, particularly by an actor who had no recourse but to do his own. For that, Keaton deserves accolades.In between all this clever film making however, I just wasn't inspired. The central plot element doesn't hold up for me - if Johnnie Gray was rejected as a volunteer, why wasn't he simply told the reason why. One could argue that then, you wouldn't have a picture, but for me it left the story on a shaky footing. If Johnnie was more valuable as a train engineer than a soldier, the picture might have taken a different approach, but the rest of the elements could have remained the same and he still would have come out a hero. Maybe I'm second guessing a master, but that's what I come away with.Conclusion - if this movie didn't make AFI's Top 100 Film List in 1997, I don't understand what might have occurred in the intervening years to suddenly have film critics vault it into the Top 20. At the same time, Chaplin's ""City Lights"", in my estimation a superior silent film, fell OFF the list, while ""The Gold Rush"" moved up a few notches. I may not be a professional, but I know what I like, and this one just didn't do it for me.",7/10
Kirik Party,Amazing Movie.. !!,"It's an amazing movie in Kannada Film Industry in recent times, which is fresh, humorous and provides a wholesome entertainment. And most importantly, it lets you remember your college days and cherish those memories.Talking about the making of the film, Rishab Shetty and his team have done a wonderful Job. Editing is Crisp, Songs are melodious and background music suits the scenes very aptly, thanks to the talented Ajneesh loknath. Especially the background music and the song during interval fight scene is just brilliant. It literally gave me goosebumps.Coming to the acting, everyone have done their part very well. Rakshit as a mischievous college student in the first half and later a transformed college goon in the second half, has pulled both the shades perfectly. Rest of the cast, including 2 actress have done commendable job as well.Verdict : It's a must watch film for all the youth. So don't think much. Just go with your gang and enjoy the movie.",10/10
Maheshinte Prathikaaram,Received a standing ovation when the film ended..........,"I went with my family to the theater on the 75th day of Maheshinte Prathikaram. Though I went with high expectations I was welcomed with a huge crowd in the hall (The day was also the release of Batman V Superman) I clearly doubted that it must be the viewers of BvS but surprisingly most of the youngsters and families were in the line for Maheshinte Prathikaram. I went on to watch the film with this in mind.First Half : The film starts with the 8 size lunar's chappal, introduced as symbolic of his coming revenge. the first half was mostly interesting. It revolved around Mahesh, his friends, family, love and Idukki. The Song 'idukki' gave the spectators a glimpse of the life and beauty of Idukki. The director had done well to indulge deep into the characters, but failed to cast a thrilling sensation between the fight. The audience became silent when the fight began, but I found one or two still laughing at the previous frame's joke. The first half ended with hilarious jokes and Mahesh's vow for revenge.Second Half : I saw in the first half one of the most well scripted story and I would definitely say that this film breached my expectations far beyond(better than Premam I would say). The second half did not lose its momentum but slightly lost its balance during the middle of the second half. The film mainly concentrated on comedy. But the first half love failure was also cast as a comedic genre.The second half, as I said was a bit laggy. I felt that most of my near spectators were becoming sleepy.But the film carried on, Fahadh's and Soubin's performance's being the most enjoyed. Babykuttan portrayed by Alancier Lay was the most laughed at character. The female lead roles's performance, was not up to the mark, I would say. The second half sparks in to life (nearing the end) when Mahesh (after learning Kung Fu and investigating about his avenger) returns to take his revenge. The Fight choreography and cinematography was superb, full marks for them. Breaking out of traditional fights, this film concentrated on realism and hand-held visuals.The fight was about 7 to 8 Min's, but that was worth it, Mahesh surely and splendidly avenged him. The film's climax and ending was a bit surprising for everyone. But I expected it to end any time, considering that it is a drama genre. I am not spoiling everything for you, left some twists and turns for you, the romantic scenes and of course his father.Verdict : One Of The Most Dramatic Films Released In Malayalam Ever.8 / 10",9/10
